created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Oct 09 13:27:45 +0000 2023;1711372882620854651;"@eddy_widodo_165 pikirnya cm mereka aja yg dagang kali ya,padahal puluhan taun mereka jadi rajanya pasar,oke katakan tiktok shop ditutup saya setuju bang karena menyalahi aturan,tp kalau e commerce mereka main bacot minta ditutup kan gila..suruh dagang aja di suriah yg jelas masih offline..";0;1;0;1;in;1426854080962383879;1711252068139458639;JessicaNeo4;https://twitter.com/JessicaNeo4/status/1711372882620854651
Mon Oct 09 13:22:24 +0000 2023;1711371535469215896;"@kegblgnunfaedh Tanah abangnya aja udah yg ditutup jingan, banyak maunya dri tiktokshop yg ditutup aja banyak yg kena phk, ini lagih malah minta lagi. Egois";0;0;0;0;in;1228251744259301376;1711305579959062757;wibisana_adhika;https://twitter.com/wibisana_adhika/status/1711371535469215896
Mon Oct 09 13:15:55 +0000 2023;1711369906124722434;"@dorxsh Duly mak gw saja ke sana itu LUAMAAAAAAA BANGET saking udahlah rame, ya... parkiran liar lah dulu😔🙏🏻🙏🏻  Sekarang tiktok shop ditutup, emak gw biasa² saja tapi gw nya yang badmood gara² mikirin gini "terus mak gw lihat live sama beli lagi buat dijual ke teman² nya gimana njer"";0;0;0;1;in;1670709913516126214;1711365650860679299;1HannahStrigoi_;https://twitter.com/1HannahStrigoi_/status/1711369906124722434
Mon Oct 09 12:43:45 +0000 2023;1711361809058570446;"@infoXwor_ Gak mikirin apa kalo marketplace semua ditutup ada brp ratusan manusia yg bakalan nganggur?! Klo mslh tiktok shop msh bisa diakalin karena kebanyakan seller di tt shop adlh seller di marketplace lain. Tapi kalo semua mp ditutup gatau lg deh😩";0;0;0;0;in;421826056;1711302544298025033;Rerrreee_;https://twitter.com/Rerrreee_/status/1711361809058570446
Mon Oct 09 12:40:38 +0000 2023;1711361025554153807;"Habis tiktokshop d ikutin maunya,skrg minta ecommerce lain tutup  Gimana kalo tanah abangnya aja ditutup…kalo ga mau velajar adaptasi ya susah.Jaman udah beda masih mau ngikutin orde lama";0;0;0;0;in;2613307537;1711361025554153807;RiyoRezo;https://twitter.com/RiyoRezo/status/1711361025554153807
Mon Oct 09 12:37:42 +0000 2023;1711360287822246339;"@AREAJULID Klo Tiktok sih msh bisa dimaklumin ditutup krn izin mrk kan awalnya utk platform sosmed bukan izin utk online shop, nah klo Lazada, Shopee kan emg izinnya utk online shop?";0;0;0;0;in;112422413;1711244856209891393;ramadhanughi;https://twitter.com/ramadhanughi/status/1711360287822246339
Mon Oct 09 12:29:48 +0000 2023;1711358297100759216;"Goblok. Lu yang migrasi ngikut teknologi dong, masa takut nerima kemajuan teknologi.  Kalau TikTok Shop ditutup gue masih setuju dah karena bakar uangnya gak ngotak, yang laen sih masih mending.";0;0;0;0;in;1351174495;1711358297100759216;aceticacid_exe;https://twitter.com/aceticacid_exe/status/1711358297100759216
Mon Oct 09 12:22:21 +0000 2023;1711356425136738348;"Kalo TikTok shop minta ditutup masih bisa dipahami, sih. Soalnya emang merusak harga pasar beberapa kali. Tapi kalo olshop lainnya ditutup, ini udah ngga wajar. Buat orang-orang yang ngga ada modal nyewa ruko di pasar dan lainnya, jualan di olshop tu bisa jadi alternatif.";0;1;0;0;in;1308004464729550858;1711356425136738348;LZuhaal;https://twitter.com/LZuhaal/status/1711356425136738348
Mon Oct 09 12:20:00 +0000 2023;1711355833202975068;"Tiktok shop ditutup karena dianggap mematikan pedagang lokal.  Mematikan pedagang lokal atau pedagang lokal yg gamau beriringan sm teknologi? (I means yg primitif dan gamau ikuti sesuai zamannya)";0;1;0;0;in;1603961043977244672;1711354645300523409;_dandelion8;https://twitter.com/_dandelion8/status/1711355833202975068
Mon Oct 09 12:18:18 +0000 2023;1711355404683551205;"Emang kalo di hapus semua. Yakin bakalan rame ??? . . . Di tanah Abang ada yang jual bahan cosplay ? Ada yang jual stand paper nya BTS ?? Acrylicnya BTS ? Kaga kan - - ... kenapasihhh ???. Tiktok shop ditutup aja udh banyak kurir yang di pecat karena paket yang makin dkit. Herman";0;0;0;0;in;1648281958429102081;1711355404683551205;KhofifahZi59767;https://twitter.com/KhofifahZi59767/status/1711355404683551205
